Year,Class,School
2023,6A,Mt. Lebanon
2023,5A,Shaler
2023,4A,Hopewell
2023,3A,Riverside
2023,2A,Seton LaSalle
2023,1A,Bishop Canevin
2022,6A,Mt. Lebanon
2022,5A,West Allegheny
2022,4A,West Mifflin
2022,3A,South Park
2022,2A,Serra Catholic
2022,1A,Union
2021,6A,North Allegheny
2021,5A,Franklin Regional
2021,4A,New Castle
2021,3A,Hopewell
2021,2A,Shenango
2021,1A,Union
2019,6A,Pine-Richland
2019,5A,Shaler
2019,4A,Beaver
2019,3A,Steel Valley
2019,2A,Seton LaSalle
2019,1A,California
2018,6A,Canon-McMillan
2018,5A,North Hills
2018,4A,South Fayette
2018,3A,Brownsville
2018,2A,North Catholic
2018,1A,Vincentian Acad.
2017,6A,Pine-Richland
2017,5A,Greater Latrobe
2017,4A,Blackhawk
2017,3A,Riverside
2017,2A,California
2017,1A,Jeannette
2016,4A,Norwin
2016,3A,Chartiers Valley
2016,2A,Riverside
2016,1A,Serra Catholic
2015,4A,Central Catholic
2015,3A,Knoch
2015,2A,Neshannock
2015,1A,Greensburg C.C.
2014,4A,Seneca Valley
2014,3A,West Allegheny
2014,2A,Steel Valley
2014,1A,California
2013,4A,North Allegheny
2013,3A,South Park
2013,2A,Beaver
2013,1A,Western Beaver
2012,4A,Seneca Valley
2012,3A,Blackhawk
2012,2A,Ellwood City
2012,1A,Neshannock
2011,4A,Seneca Valley
2011,3A,Elizabeth Forward
2011,2A,Riverside
2011,1A,Neshannock
2010,4A,Pine-Richland
2010,3A,Hopewell
2010,2A,Beaver Falls
2010,1A,Serra Catholic
2009,4A,North Allegheny
2009,3A,Moon
2009,2A,Shady Side Acad.
2009,1A,Serra Catholic
2008,4A,Peters Township
2008,3A,West Allegheny
2008,2A,Beaver
2008,1A,Carmichaels
2007,4A,Peters Township
2007,3A,West Allegheny
2007,2A,North Catholic
2007,1A,Springdale
2006,4A,Mt. Lebanon
2006,3A,Pine-Richland
2006,2A,Riverside
2006,1A,California
2005,4A,North Allegheny
2005,3A,Pine-Richland
2005,2A,North Catholic
2005,1A,Carmichaels
2004,3A,Pine-Richland
2004,2A,Blackhawk
2004,1A,Neshannock
2003,3A,North Allegheny
2003,2A,Ellwood City
2003,1A,Carmichaels
2002,3A,Mt. Lebanon
2002,2A,Washington
2002,1A,Neshannock
2001,3A,Franklin Regional
2001,2A,Ellwood City
2001,1A,California
2000,3A,Hopewell
2000,2A,Bishop Canevin
2000,1A,Western Beaver
1999,3A,Shaler
1999,2A,Waynesburg Cent.
1999,1A,South Fayette
1998,3A,Plum
1998,2A,Washington
1997,3A,Franklin Regional
1997,2A,Washington
1996,3A,North Allegheny
1996,2A,Riverside
1995,3A,North Catholic
1995,2A,Seton LaSalle
1994,3A,Seneca Valley
1994,2A,West Allegheny
1993,3A,Mt. Lebanon
1993,2A,Canevin Catholic
1992,3A,Upper St. Clair
1992,2A,Avonworth
1991,3A,North Allegheny
1991,2A,Neshannock
1990,3A,North Allegheny
1990,2A,Center
1989,3A,Connellsville
1989,2A,Center
1988,3A,Plum
1988,2A,Ford City
1987,3A,Bethel Park
1987,2A,Ford City
1986,3A,Connellsville
1986,2A,Fort Cherry
1985,3A,Bethel Park
1985,2A,Sto-Rox
1984,3A,Derry
1984,2A,Quaker Valley
1983,3A,Beaver
1983,2A,California
1982,3A,Connellsville
1982,2A,Northgate
1981,3A,Shaler
1981,2A,Wilmington
1980,3A,Shaler
1980,2A,Swissvale
1979,3A,Hopewell
1979,2A,Freeport
